Copyright (c) James G. MacKinnon, 1999
ecmnc     1  1  6   20
-0.44831649E+01-0.17616219E+02-0.60059684E-01 0.33755149E-02
 0.11584692E+00 0.12804603E+01-0.17433597E-02 0.24926196E-03
 0.14173761E+00 0.12841514E+01-0.17468806E-02 0.25444148E-03
 0.16828167E+00 0.12844817E+01-0.16772619E-02 0.25502821E-03
 0.19544041E+00 0.12840702E+01-0.16608005E-02 0.25438732E-03
 0.22339149E+00 0.12899732E+01-0.17297993E-02 0.25635551E-03
 0.25217982E+00 0.12910794E+01-0.17455868E-02 0.26229840E-03
 0.28171460E+00 0.12959376E+01-0.17718215E-02 0.26685482E-03
 0.31228824E+00 0.12868381E+01-0.15917578E-02 0.26803884E-03
 0.34363285E+00 0.12999796E+01-0.17469209E-02 0.26764509E-03
 0.37612431E+00 0.12977143E+01-0.16077748E-02 0.26966290E-03
 0.40980509E+00 0.12928228E+01-0.14176705E-02 0.27252626E-03
 0.44476760E+00 0.13015805E+01-0.15272033E-02 0.27570070E-03
 0.48106456E+00 0.13081594E+01-0.15531602E-02 0.28370902E-03
 0.51889657E+00 0.13160753E+01-0.15916724E-02 0.29086316E-03
 0.55840528E+00 0.13303595E+01-0.16834578E-02 0.30160625E-03
 0.59972066E+00 0.13475518E+01-0.16865479E-02 0.30536306E-03
 0.64332012E+00 0.13640085E+01-0.16253352E-02 0.30925055E-03
 0.68910457E+00 0.14044323E+01-0.19806342E-02 0.31136430E-03
 0.73794813E+00 0.14169500E+01-0.17504420E-02 0.31482112E-03
 0.78974281E+00 0.14506274E+01-0.17115143E-02 0.32560757E-03
 0.84589722E+00 0.14626363E+01-0.13646773E-02 0.33237754E-03
 0.90657179E+00 0.14750495E+01-0.80003439E-03 0.34314334E-03
 0.97272825E+00 0.15012891E+01-0.19384406E-03 0.36340582E-03
 0.10457986E+01 0.15638780E+01-0.98403327E-04 0.38104793E-03
 0.11277047E+01 0.16532721E+01-0.15589761E-03 0.41075563E-03
 0.12216287E+01 0.17729864E+01-0.22935690E-03 0.44250607E-03
 0.13328428E+01 0.18519643E+01 0.14459259E-02 0.47508603E-03
 0.14697848E+01 0.20531082E+01 0.23893244E-02 0.53570850E-03
 0.16525703E+01 0.23647974E+01 0.42000278E-02 0.62672233E-03
 0.16982184E+01 0.24783732E+01 0.42141788E-02 0.64336270E-03
 0.17484021E+01 0.26095956E+01 0.42804882E-02 0.66555989E-03
 0.18053450E+01 0.26551855E+01 0.63239469E-02 0.69955601E-03
 0.18695587E+01 0.27770325E+01 0.75534117E-02 0.75045681E-03
 0.19429750E+01 0.29840853E+01 0.80313796E-02 0.79698843E-03
 0.20309298E+01 0.32197013E+01 0.96692715E-02 0.86403316E-03
 0.21416073E+01 0.34992162E+01 0.12098609E-01 0.95807758E-03
 0.22904422E+01 0.39677147E+01 0.16301536E-01 0.11231074E-02
 0.25301779E+01 0.50631239E+01 0.19291562E-01 0.14601843E-02
 0.27573907E+01 0.59132026E+01 0.31837021E-01 0.20374159E-02
 0.30348782E+01 0.75599156E+01 0.44350527E-01 0.30189235E-02
 0.32339868E+01 0.91787409E+01 0.49000069E-01 0.40881553E-02
ecmc      1  2  6   20
-0.50111138E+01-0.23821444E+02-0.76948277E-01 0.35007274E-02
-0.48550328E+01-0.21093502E+02-0.59786335E-01 0.25238837E-02
-0.46328321E+01-0.17738289E+02-0.41838456E-01 0.15101118E-02
-0.44571743E+01-0.15238954E+02-0.32716195E-01 0.10204449E-02
-0.42732327E+01-0.12783617E+02-0.24582173E-01 0.84539182E-03
-0.41594562E+01-0.11489474E+02-0.18341028E-01 0.74676084E-03
-0.40762486E+01-0.10597619E+02-0.14793091E-01 0.64915724E-03
-0.40101947E+01-0.99297598E+01-0.11578773E-01 0.59811029E-03
-0.39551135E+01-0.93729802E+01-0.97180504E-02 0.56705708E-03
-0.39074582E+01-0.89356775E+01-0.79569197E-02 0.52845631E-03
-0.38660034E+01-0.84911999E+01-0.77055314E-02 0.50957833E-03
-0.38284015E+01-0.81408458E+01-0.68327298E-02 0.49520429E-03
-0.37949171E+01-0.78194609E+01-0.60234915E-02 0.48220904E-03
-0.36608970E+01-0.65893085E+01-0.42455404E-02 0.39926192E-03
-0.35614891E+01-0.57568795E+01-0.28828441E-02 0.34429261E-03
-0.34817459E+01-0.51072703E+01-0.23788564E-02 0.31953071E-03
-0.34144590E+01-0.45942922E+01-0.19035071E-02 0.29986629E-03
-0.33560001E+01-0.41755113E+01-0.14650319E-02 0.29221855E-03
-0.33039380E+01-0.38303853E+01-0.91950988E-03 0.26568683E-03
-0.32571676E+01-0.35115415E+01-0.86034695E-03 0.25384617E-03
-0.32143611E+01-0.32418949E+01-0.55480577E-03 0.24211933E-03
-0.31750085E+01-0.29886751E+01-0.53505410E-03 0.23562417E-03
-0.31384036E+01-0.27676384E+01-0.46242835E-03 0.22406700E-03
-0.31040588E+01-0.25620410E+01-0.46082728E-03 0.21095900E-03
-0.30716694E+01-0.23863168E+01-0.27014338E-03 0.20396534E-03
-0.30411074E+01-0.22223097E+01-0.10901229E-03 0.19760594E-03
-0.30120880E+01-0.20626573E+01-0.63475700E-04 0.19573466E-03
-0.29845263E+01-0.19026458E+01-0.29111871E-03 0.19398190E-03
-0.29581089E+01-0.17567916E+01-0.41436435E-03 0.18812241E-03
-0.29327909E+01-0.16286316E+01-0.30563950E-03 0.18798947E-03
-0.29084139E+01-0.15108837E+01-0.18351155E-03 0.18574360E-03
-0.28848563E+01-0.13972490E+01-0.14017896E-03 0.18396897E-03
-0.28621727E+01-0.12874579E+01-0.11144557E-03 0.18178790E-03
-0.28402664E+01-0.11766000E+01-0.28189320E-03 0.17849187E-03
-0.28190099E+01-0.10747743E+01-0.38887382E-03 0.17755814E-03
-0.27983275E+01-0.98208332E+00-0.36730291E-03 0.17599864E-03
-0.27782473E+01-0.89389261E+00-0.33130859E-03 0.17211757E-03
-0.27587254E+01-0.80568695E+00-0.41246984E-03 0.17324260E-03
-0.27396801E+01-0.72350879E+00-0.43481125E-03 0.17244478E-03
-0.27211163E+01-0.63718023E+00-0.60259226E-03 0.17359367E-03
-0.27029804E+01-0.56062330E+00-0.63118750E-03 0.17153772E-03
-0.26851908E+01-0.49075867E+00-0.64270240E-03 0.17028082E-03
-0.26678757E+01-0.41329602E+00-0.80111691E-03 0.16757573E-03
-0.26508138E+01-0.34982818E+00-0.76529075E-03 0.16769783E-03
-0.26341156E+01-0.28498229E+00-0.76892133E-03 0.16755086E-03
-0.26177185E+01-0.22212491E+00-0.77869417E-03 0.16766819E-03
-0.26017133E+01-0.15466301E+00-0.90125316E-03 0.16676254E-03
-0.25859047E+01-0.97106420E-01-0.94104535E-03 0.16516560E-03
-0.25703892E+01-0.35627504E-01-0.10559013E-02 0.16333899E-03
-0.25551301E+01 0.19812503E-01-0.10930430E-02 0.16151462E-03
-0.25400820E+01 0.75514081E-01-0.11568635E-02 0.16039884E-03
-0.25252754E+01 0.12682832E+00-0.11622921E-02 0.16046244E-03
-0.25106463E+01 0.17793275E+00-0.12061696E-02 0.16027515E-03
-0.24961870E+01 0.22677534E+00-0.12530095E-02 0.16102603E-03
-0.24819228E+01 0.27055573E+00-0.12329001E-02 0.15966816E-03
-0.24678895E+01 0.31726751E+00-0.12709317E-02 0.15987445E-03
-0.24539987E+01 0.36028610E+00-0.12791580E-02 0.16017217E-03
-0.24402658E+01 0.40257089E+00-0.12724382E-02 0.15823894E-03
-0.24267148E+01 0.44346399E+00-0.12841067E-02 0.15700389E-03
-0.24133062E+01 0.48578528E+00-0.13296818E-02 0.15671393E-03
-0.24000523E+01 0.52650815E+00-0.13816490E-02 0.15427752E-03
-0.23870010E+01 0.57040405E+00-0.14799290E-02 0.15531564E-03
-0.23740239E+01 0.61115844E+00-0.15784889E-02 0.15485094E-03
-0.23611152E+01 0.64750138E+00-0.15800217E-02 0.15242512E-03
-0.23483653E+01 0.68356444E+00-0.15926448E-02 0.15286582E-03
-0.23357278E+01 0.71749741E+00-0.15952133E-02 0.14994988E-03
-0.23232493E+01 0.75482048E+00-0.16473473E-02 0.14946587E-03
-0.23108695E+01 0.79307080E+00-0.17699769E-02 0.14866721E-03
-0.22985632E+01 0.82639247E+00-0.18045819E-02 0.14836505E-03
-0.22864194E+01 0.86391764E+00-0.19058553E-02 0.14863326E-03
-0.22743627E+01 0.89951879E+00-0.19832646E-02 0.14830718E-03
-0.22623815E+01 0.93835596E+00-0.21568384E-02 0.14655404E-03
-0.22504542E+01 0.96897806E+00-0.21771703E-02 0.14379845E-03
-0.22386033E+01 0.10006689E+01-0.22499173E-02 0.14369589E-03
-0.22268215E+01 0.10296406E+01-0.22607859E-02 0.14367832E-03
-0.22151222E+01 0.10618956E+01-0.23374647E-02 0.14264968E-03
-0.22034775E+01 0.10891872E+01-0.23598268E-02 0.14273222E-03
-0.21919274E+01 0.11202912E+01-0.24365776E-02 0.14358916E-03
-0.21804461E+01 0.11503250E+01-0.24813550E-02 0.14407724E-03
-0.21689699E+01 0.11763326E+01-0.24861451E-02 0.14234611E-03
-0.21575838E+01 0.12040283E+01-0.25491450E-02 0.14376531E-03
-0.21462147E+01 0.12299846E+01-0.25804062E-02 0.14424759E-03
-0.21349272E+01 0.12563033E+01-0.26122558E-02 0.14374358E-03
-0.21236684E+01 0.12787684E+01-0.25833390E-02 0.14402644E-03
-0.21125050E+01 0.13046487E+01-0.26156198E-02 0.14391632E-03
-0.21013640E+01 0.13305151E+01-0.26766436E-02 0.14399919E-03
