Copyright (C) James G. MacKinnon, 1995
conc      3  4  3   20
 -.35575669D+01 -.67356990D+01 -.26374831D+01 -.53566067D+02  .31725032D-03
 -.35301064D+01 -.65291339D+01 -.17963594D+01 -.56496168D+02  .30620129D-03
 -.35040012D+01 -.63307164D+01 -.16138964D+01 -.51597515D+02  .29532540D-03
 -.34791023D+01 -.61400096D+01 -.13342868D+01 -.49998142D+02  .28753319D-03
 -.34552094D+01 -.59702477D+01 -.46135813D+00 -.57423093D+02  .27380145D-03
 -.34321968D+01 -.58119301D+01  .27071584D+00 -.64386218D+02  .27477700D-03
 -.34100549D+01 -.56513219D+01  .28505888D+00 -.59387144D+02  .26447610D-03
 -.33887376D+01 -.55048922D+01  .88106951D+00 -.65988263D+02  .26237834D-03
 -.33681016D+01 -.53723162D+01  .17011769D+01 -.74523053D+02  .26332981D-03
 -.33481853D+01 -.52108970D+01  .50869553D+00 -.55726515D+02  .26250891D-03
 -.33287839D+01 -.50842651D+01  .77926904D+00 -.56000162D+02  .26248097D-03
 -.33099300D+01 -.49735513D+01  .17207607D+01 -.65197656D+02  .26169893D-03
 -.32916925D+01 -.48277873D+01  .41043851D+00 -.44499693D+02  .26082791D-03
 -.32738700D+01 -.47152902D+01  .74416357D+00 -.46428860D+02  .26143598D-03
 -.32565477D+01 -.45905665D+01  .73302997D-01 -.34360255D+02  .26428091D-03
 -.32396991D+01 -.44776158D+01  .17652667D+00 -.34949034D+02  .26023467D-03
 -.32230917D+01 -.43871815D+01  .71281716D+00 -.37101100D+02  .25911896D-03
 -.32069150D+01 -.42826907D+01  .41014070D+00 -.29246285D+02  .25213969D-03
 -.31911601D+01 -.41664778D+01 -.38267395D+00 -.17243272D+02  .25114733D-03
 -.31756320D+01 -.40745781D+01 -.19318311D+00 -.19485493D+02  .25006171D-03
 -.31604495D+01 -.39709527D+01 -.71507985D+00 -.11996762D+02  .24854246D-03
 -.31454661D+01 -.38884724D+01 -.21834399D+00 -.19275643D+02  .24939067D-03
 -.31307864D+01 -.37990407D+01 -.40463852D+00 -.15284424D+02  .25141049D-03
 -.31163854D+01 -.37079884D+01 -.10052828D+01 -.47554326D+01  .25235961D-03
 -.31021923D+01 -.36445183D+01 -.39450983D-01 -.15852385D+02  .24835491D-03
 -.30881671D+01 -.35836214D+01  .93849216D+00 -.29484516D+02  .24381727D-03
 -.30744183D+01 -.35011964D+01  .33111966D+00 -.17351727D+02  .24013820D-03
 -.30608870D+01 -.34334572D+01  .60575914D+00 -.18415584D+02  .23615012D-03
 -.30475644D+01 -.33613101D+01  .73747933D+00 -.21058902D+02  .23242445D-03
 -.30344877D+01 -.32823876D+01  .41923414D+00 -.16568088D+02  .22966983D-03
 -.30215701D+01 -.32071139D+01  .11145785D+00 -.11694050D+02  .22939465D-03
 -.30088228D+01 -.31359982D+01 -.21249241D-01 -.10404333D+02  .22676393D-03
 -.29961840D+01 -.30715513D+01 -.96084950D-02 -.90143675D+01  .22549295D-03
 -.29837313D+01 -.30153108D+01  .46867962D+00 -.15086350D+02  .22556978D-03
 -.29713724D+01 -.29548434D+01  .41284420D+00 -.12417393D+02  .22411312D-03
 -.29591438D+01 -.29100221D+01  .12928484D+01 -.23896206D+02  .21901647D-03
 -.29470875D+01 -.28573614D+01  .15050879D+01 -.24634232D+02  .22057614D-03
 -.29351687D+01 -.28058193D+01  .18364696D+01 -.28134931D+02  .21852859D-03
 -.29233639D+01 -.27591872D+01  .23447825D+01 -.34167452D+02  .22115360D-03
 -.29117214D+01 -.27046746D+01  .24318458D+01 -.35173941D+02  .21945933D-03
 -.29001852D+01 -.26511793D+01  .23544963D+01 -.31896577D+02  .21901084D-03
 -.28887882D+01 -.25886563D+01  .17903269D+01 -.23858153D+02  .22131593D-03
 -.28774697D+01 -.25344669D+01  .16515223D+01 -.21173171D+02  .22048017D-03
 -.28661932D+01 -.24857857D+01  .16177480D+01 -.19105578D+02  .22079654D-03
 -.28550725D+01 -.24437973D+01  .21599074D+01 -.26884814D+02  .22112676D-03
 -.28440729D+01 -.23903235D+01  .19610082D+01 -.23866714D+02  .21819384D-03
 -.28331418D+01 -.23421723D+01  .19077318D+01 -.21497785D+02  .21960751D-03
 -.28222767D+01 -.23052732D+01  .23634660D+01 -.26275302D+02  .21916469D-03
 -.28114860D+01 -.22532856D+01  .19609609D+01 -.19855492D+02  .21906062D-03
 -.28008514D+01 -.22098988D+01  .23741442D+01 -.27085662D+02  .21966999D-03
 -.27901917D+01 -.21830722D+01  .34507027D+01 -.42770543D+02  .21598964D-03
 -.27796441D+01 -.21382898D+01  .33479168D+01 -.40879732D+02  .21772487D-03
 -.27691699D+01 -.20923557D+01  .31906681D+01 -.39024459D+02  .21735236D-03
 -.27587535D+01 -.20460065D+01  .29546615D+01 -.36237175D+02  .21825629D-03
 -.27483909D+01 -.20004291D+01  .26255723D+01 -.30914968D+02  .22083976D-03
 -.27380951D+01 -.19700340D+01  .32594562D+01 -.39430756D+02  .21917541D-03
 -.27278810D+01 -.19250050D+01  .29631105D+01 -.35167440D+02  .21681590D-03
 -.27177338D+01 -.18794298D+01  .26310221D+01 -.30602546D+02  .21851951D-03
 -.27076219D+01 -.18422619D+01  .27284500D+01 -.31365978D+02  .21823541D-03
