Copyright (C) James G. MacKinnon, 1995
conc      6  7  3   25
 -.41994057D+01 -.10471021D+02  .61832887D+01 -.10883729D+03  .27362685D-03
 -.41839087D+01 -.10291626D+02  .58193373D+01 -.99741015D+02  .27507344D-03
 -.41686989D+01 -.10144813D+02  .69592332D+01 -.11447790D+03  .26725892D-03
 -.41538088D+01 -.99971242D+01  .80272702D+01 -.13019427D+03  .26777869D-03
 -.41391681D+01 -.98583688D+01  .90298472D+01 -.14015503D+03  .26926780D-03
 -.41248169D+01 -.96946770D+01  .82745009D+01 -.12554402D+03  .26862029D-03
 -.41106749D+01 -.95662125D+01  .98639303D+01 -.14983594D+03  .26401459D-03
 -.40967595D+01 -.94330620D+01  .10513712D+02 -.15549520D+03  .25692700D-03
 -.40831246D+01 -.93106189D+01  .11754051D+02 -.17178457D+03  .26304458D-03
 -.40696422D+01 -.91894196D+01  .12617260D+02 -.18036870D+03  .25877470D-03
 -.40564249D+01 -.90472003D+01  .11909673D+02 -.16098392D+03  .25870687D-03
 -.40433196D+01 -.89457688D+01  .13620541D+02 -.18522490D+03  .25720040D-03
 -.40304798D+01 -.88214990D+01  .13989429D+02 -.18931677D+03  .25645905D-03
 -.40178302D+01 -.86974201D+01  .14071907D+02 -.18640832D+03  .25410585D-03
 -.40053725D+01 -.85500893D+01  .12404171D+02 -.15403815D+03  .25369699D-03
 -.39931007D+01 -.84086824D+01  .11092049D+02 -.13187560D+03  .25209905D-03
 -.39808218D+01 -.83102571D+01  .12001058D+02 -.13973747D+03  .24682768D-03
 -.39687009D+01 -.82151487D+01  .12964490D+02 -.15033416D+03  .24382941D-03
 -.39567437D+01 -.81083016D+01  .13059829D+02 -.14747997D+03  .24104759D-03
 -.39449622D+01 -.79932171D+01  .12855072D+02 -.14290555D+03  .24050663D-03
 -.39333148D+01 -.78916111D+01  .13539491D+02 -.15558861D+03  .23757679D-03
 -.39218171D+01 -.77821323D+01  .13365527D+02 -.14927312D+03  .23894340D-03
 -.39103625D+01 -.76936195D+01  .14249232D+02 -.16014010D+03  .23959026D-03
 -.38991370D+01 -.75805185D+01  .13754037D+02 -.15091763D+03  .23948501D-03
 -.38879612D+01 -.74718971D+01  .13061913D+02 -.13595608D+03  .23948034D-03
 -.38768235D+01 -.73770301D+01  .13184352D+02 -.13590543D+03  .23915438D-03
 -.38658326D+01 -.72806952D+01  .13181593D+02 -.13261745D+03  .23607920D-03
 -.38549427D+01 -.71838491D+01  .13138176D+02 -.13073830D+03  .23723217D-03
 -.38441083D+01 -.70898273D+01  .13146847D+02 -.12939823D+03  .23297555D-03
 -.38334101D+01 -.69882324D+01  .12773629D+02 -.12433714D+03  .22956699D-03
 -.38227935D+01 -.68893795D+01  .12089844D+02 -.10941339D+03  .22789234D-03
 -.38122927D+01 -.67941878D+01  .11794162D+02 -.10339718D+03  .22764247D-03
 -.38018651D+01 -.66973314D+01  .11259572D+02 -.92623888D+02  .22553936D-03
 -.37914699D+01 -.66162415D+01  .11831487D+02 -.10215143D+03  .22613036D-03
 -.37810288D+01 -.65518281D+01  .12788350D+02 -.11377529D+03  .22778369D-03
 -.37706576D+01 -.64955690D+01  .14326125D+02 -.13466551D+03  .22990328D-03
 -.37605120D+01 -.63974528D+01  .13415914D+02 -.11726061D+03  .22604472D-03
