Copyright (c) James G. MacKinnon, 1999
ecmnc     7  7  7   30
-0.28383077E+01 0.93417402E+01-0.48567005E-01 0.15215864E-02 0.21516097E-03
-0.28256617E+01 0.93793906E+01-0.48510711E-01 0.14993334E-02 0.21842829E-03
-0.28130491E+01 0.94242840E+01-0.48886056E-01 0.15297149E-02 0.21645119E-03
-0.28004569E+01 0.94659035E+01-0.48961394E-01 0.15153520E-02 0.21705665E-03
-0.27878841E+01 0.95065409E+01-0.49049480E-01 0.15056616E-02 0.21659069E-03
-0.27752881E+01 0.95480250E+01-0.49301329E-01 0.15166803E-02 0.21690993E-03
-0.27627132E+01 0.95891874E+01-0.49505671E-01 0.15218527E-02 0.21862903E-03
-0.27501268E+01 0.96347572E+01-0.49904253E-01 0.15449409E-02 0.21803767E-03
-0.27374728E+01 0.96555622E+01-0.49343801E-01 0.14754838E-02 0.21827388E-03
-0.27249071E+01 0.96946928E+01-0.49437769E-01 0.14632978E-02 0.21770823E-03
-0.27123175E+01 0.97308910E+01-0.49531827E-01 0.14559770E-02 0.21663118E-03
-0.26997542E+01 0.97697060E+01-0.49847831E-01 0.14813116E-02 0.21780401E-03
-0.26871711E+01 0.98112102E+01-0.50264028E-01 0.15119752E-02 0.21964377E-03
-0.26746135E+01 0.98515335E+01-0.50541743E-01 0.15227313E-02 0.21805513E-03
-0.26619814E+01 0.98906488E+01-0.50880110E-01 0.15453876E-02 0.21464801E-03
-0.26493597E+01 0.99271357E+01-0.51048821E-01 0.15505140E-02 0.21312055E-03
-0.26366833E+01 0.99569343E+01-0.51028412E-01 0.15343097E-02 0.21198089E-03
-0.26240436E+01 0.99962192E+01-0.51302182E-01 0.15442254E-02 0.21087040E-03
-0.26113745E+01 0.10031484E+02-0.51513922E-01 0.15561280E-02 0.21043858E-03
-0.25986878E+01 0.10070882E+02-0.51935575E-01 0.15867503E-02 0.21086107E-03
-0.25859759E+01 0.10108882E+02-0.52193465E-01 0.15906948E-02 0.21203945E-03
-0.25732184E+01 0.10139474E+02-0.52251565E-01 0.15851956E-02 0.21099663E-03
-0.25604620E+01 0.10178291E+02-0.52646347E-01 0.16104695E-02 0.21161274E-03
-0.25476448E+01 0.10211220E+02-0.52891597E-01 0.16262352E-02 0.21100785E-03
-0.25348164E+01 0.10252129E+02-0.53497809E-01 0.16749103E-02 0.21110314E-03
-0.25219709E+01 0.10290655E+02-0.53898916E-01 0.17013582E-02 0.21057540E-03
-0.25090403E+01 0.10315820E+02-0.53845254E-01 0.16843175E-02 0.21158541E-03
-0.24960989E+01 0.10356964E+02-0.54471162E-01 0.17388588E-02 0.20982307E-03
-0.24831446E+01 0.10392195E+02-0.54777448E-01 0.17556830E-02 0.20955198E-03
-0.24701135E+01 0.10425548E+02-0.55167864E-01 0.17869126E-02 0.20984384E-03
-0.24570497E+01 0.10457539E+02-0.55370103E-01 0.17933958E-02 0.20977978E-03
-0.24439042E+01 0.10485037E+02-0.55383185E-01 0.17800553E-02 0.20810411E-03
-0.24307607E+01 0.10518126E+02-0.55606912E-01 0.17839795E-02 0.21156152E-03
-0.24175450E+01 0.10551000E+02-0.55910390E-01 0.17959862E-02 0.21252602E-03
-0.24042728E+01 0.10581789E+02-0.56182490E-01 0.18162464E-02 0.21410848E-03
-0.23909402E+01 0.10612938E+02-0.56477711E-01 0.18337278E-02 0.21494445E-03
-0.23775034E+01 0.10637577E+02-0.56446027E-01 0.18137239E-02 0.21466510E-03
